n,forecast,observed,lo,hi
666813,0.018328705223462607,0.013789473210630267,0.0,0.1
58032,0.14249487299759034,0.13656258615936034,0.1,0.2
28480,0.24549445314294804,0.23075842696629215,0.2,0.30000000000000004
18298,0.34739477115754297,0.3103617881735709,0.30000000000000004,0.4
13504,0.4481282540998214,0.392550355450237,0.4,0.5
10782,0.5486507954180051,0.48636616583194214,0.5,0.6000000000000001
9430,0.6492747471591057,0.5837751855779427,0.6000000000000001,0.7000000000000001
8968,0.7496058875816839,0.68521409455843,0.7000000000000001,0.8
8311,0.8491166896112198,0.7889543977860667,0.8,0.9
4107,0.9341463956374676,0.8502556610664719,0.9,1.0
