source,brier,log_loss,auc,base_rate,n,brier_skill_vs_clim
reanalysis (upper bound),0.044711704236095585,0.15370644640559653,0.9287222250953245,0.07441433830185264,828550,0.33166361381023046
forecast lead 0,0.0429270120062855,0.14837397786278725,0.9327552153097086,0.07441433830185264,828550,0.358340627708737
"forecast lead 0, Platt-calibrated",0.04294684084747683,0.14830031262767668,0.9327552153097086,0.07441433830185264,828550,0.35804423247418793
"forecast lead 0, isotonic-calibrated",0.04286002749078871,0.14769258895926224,0.9327543231190693,0.07441433830185264,828550,0.3593418910196008
forecast lead 1,0.046878991162230606,0.16388368021693484,0.9127599397110278,0.07441433830185264,828550,0.29926769563182953
"forecast lead 1, Platt-calibrated",0.04672123189677642,0.1634630066312775,0.9127599397110278,0.07441433830185264,828550,0.3016258311393659
"forecast lead 1, isotonic-calibrated",0.0466735986113799,0.16301673251990795,0.9127581164473597,0.07441433830185264,828550,0.30233783839491923
forecast lead 2,0.048367632204485346,0.16653028630208772,0.9129185583734922,0.07441433830185264,828550,0.2770159610689784
"forecast lead 2, Platt-calibrated",0.04790819820998137,0.16560573639020856,0.9129185583734922,0.07441433830185264,828550,0.2838834348283801
"forecast lead 2, isotonic-calibrated",0.04780005510869846,0.1647858406672783,0.9129226264527632,0.07441433830185264,828550,0.28549992363679433
forecast lead 3,0.05043903416717642,0.17459167794292826,0.9015729494265023,0.07441433830185264,828550,0.24605330093906697
"forecast lead 3, Platt-calibrated",0.04977352521995758,0.17308993254760938,0.9015729494265023,0.07441433830185264,828550,0.256001117788377
"forecast lead 3, isotonic-calibrated",0.049676565471283046,0.1723656639451637,0.9015746956867541,0.07441433830185264,828550,0.25745044138590367
forecast lead 4,0.053644684955621295,0.18384722972794973,0.8922862112106485,0.07441433830185264,828550,0.19813624879489844
"forecast lead 4, Platt-calibrated",0.05235036933490348,0.18105586746528987,0.8922862112106485,0.07441433830185264,828550,0.21748326853656985
"forecast lead 4, isotonic-calibrated",0.05215004760654858,0.17973673599820264,0.8922861033085805,0.07441433830185264,828550,0.22047761425188972
