id,name,lat,lon,kind,source,notes
bw-uke4100-08901,"Wharfe at Cromwheel, Ilkley",53.93189,-1.81618,river,designated,Environment Agency designated bathing water
bw-uke2203-08903,"Nidd at the Lido, Knaresborough",53.9982,-1.45145,river,designated,Environment Agency designated bathing water
bw-uke4200-08904,Wharfe at Wilderness Carpark,53.92655,-1.38542,river,designated,Environment Agency designated bathing water
bw-uke2204-08905,Swale above Richmond Falls,54.40058,-1.73468,river,designated,Environment Agency designated bathing water
bw-ukf2208-09701,Rutland Water Whitwell Creek,52.66351,-0.63186,lake,designated,Environment Agency designated bathing water
bw-ukf2208-09702,Rutland Water Sykes Lane,52.66321,-0.61314,lake,designated,Environment Agency designated bathing water
bw-ukf1400-09750,Colwick Country Park (West Lake),52.94516,-1.09815,lake,designated,Environment Agency designated bathing water
bw-ukh1201-09801,"Sheep's Green, River Cam",52.19607,0.11683,river,designated,Environment Agency designated bathing water
bw-ukh1406-10712,"Falcon Meadow, River Waveney",52.45648,1.44304,river,designated,Environment Agency designated bathing water
bw-ukh1401-11051,"Friars Meadow, River Stour",52.03408,0.73489,river,designated,Environment Agency designated bathing water
bw-ukk1302-11760,Cotswold Country Park and Beach,51.66098,-1.96091,lake,designated,Environment Agency designated bathing water
bw-uki1101-11910,Hampstead Heath (Ladies Pond),51.56672,-0.16009,lake,designated,Environment Agency designated bathing water
bw-uki1101-11920,Hampstead Heath (Mens Pond),51.56334,-0.15662,lake,designated,Environment Agency designated bathing water
bw-uki1101-11930,Hampstead Heath (Mixed Pond),51.56071,-0.16625,lake,designated,Environment Agency designated bathing water
bw-uki1106-11940,The Serpentine - Hyde Park,51.50491,-0.16907,lake,designated,Environment Agency designated bathing water
bw-ukj1102-11941,"Pangbourne Meadow, River Thames",51.48683,-1.08394,river,designated,Environment Agency designated bathing water
bw-uki2203-11942,"Ham and Kingston, River Thames",51.42702,-0.31074,river,designated,Environment Agency designated bathing water
bw-ukj2310-11945,Frensham Great Pond,51.15731,-0.7918,lake,designated,Environment Agency designated bathing water
bw-ukj1402-11946,Wolvercote Mill Stream,51.78082,-1.29596,river,designated,Environment Agency designated bathing water
bw-ukj1403-11947,"Wallingford Beach, River Thames",51.60005,-1.12032,river,designated,Environment Agency designated bathing water
bw-ukj3308-19001,River Avon at Fordingbridge,50.92632,-1.78854,river,designated,Environment Agency designated bathing water
bw-ukk1500-19002,River Avon at Queen Elizabeth Gardens,51.06767,-1.80218,river,designated,Environment Agency designated bathing water
bw-ukk2304-35201,River Tone at French Weir Park,51.01809,-3.11285,river,designated,Environment Agency designated bathing water
bw-ukk1100-36050,Henleaze Lake,51.49462,-2.60571,lake,designated,Environment Agency designated bathing water
bw-ukk2301-36051,River Frome at Farleigh Hungerford,51.31791,-2.28093,river,designated,Environment Agency designated bathing water
bw-ukg2200-36060,River Teme in Ludlow,52.36643,-2.72537,river,designated,Environment Agency designated bathing water
bw-ukg2100-36070,River Severn at Ironbridge,52.62933,-2.49179,river,designated,Environment Agency designated bathing water
bw-ukg2200-36071,River Severn in Shrewsbury,52.71037,-2.75671,river,designated,Environment Agency designated bathing water
bw-ukd6300-40752,"Sandy Lane, Chester",53.18744,-2.87007,river,designated,Environment Agency designated bathing water
bw-ukd1203-45625,"Windermere, Lakeside YMCA",54.3004,-2.96146,lake,designated,Environment Agency designated bathing water
bw-ukd1203-45650,"Windermere, Millerground Landing",54.38071,-2.92254,lake,designated,Environment Agency designated bathing water
bw-ukd1203-45675,"Windermere, Rayrigg Meadow",54.37816,-2.9225,lake,designated,Environment Agency designated bathing water
bw-ukd1203-45700,"Windermere, Fellfoot",54.27452,-2.95377,lake,designated,Environment Agency designated bathing water
bw-ukd1230-45725,"Coniston Water, Brown Howe",54.31134,-3.09122,lake,designated,Environment Agency designated bathing water
bw-ukd1230-45750,"Coniston Water, Boating Centre",54.36396,-3.06608,lake,designated,Environment Agency designated bathing water
